Player,2017_Team,2017_Yards,2017_YardsRun,2017_Targets,2017_YardsPerRoute,2017_OpenScore,2017_CatchScore,2017_YACScore,2017_Overall,2018_Team,2018_Yards,2018_YardsRun,2018_Targets,2018_YardsPerRoute,2018_OpenScore,2018_CatchScore,2018_YACScore,2018_Overall,2019_Team,2019_Yards,2019_YardsRun,2019_Targets,2019_YardsPerRoute,2019_OpenScore,2019_CatchScore,2019_YACScore,2019_Overall,2020_Team,2020_Yards,2020_YardsRun,2020_Targets,2020_YardsPerRoute,2020_OpenScore,2020_CatchScore,2020_YACScore,2020_Overall,2021_Team,2021_Yards,2021_YardsRun,2021_Targets,2021_YardsPerRoute,2021_OpenScore,2021_CatchScore,2021_YACScore,2021_Overall,2022_Team,2022_Yards,2022_YardsRun,2022_Targets,2022_YardsPerRoute,2022_OpenScore,2022_CatchScore,2022_YACScore,2022_Overall
Sammy Watkins,Rams,616.00,437.00,71.00,1.40,43.00,53.00,53.00,48.00,Chiefs,695.00,296.00,63.00,2.30,57.00,37.00,53.00,49.00,Chiefs,961.00,511.00,103.00,1.90,33.00,32.00,62.00,36.00,Chiefs,434.00,307.00,55.00,1.40,33.00,40.00,39.00,30.00,,,,,,,,,,,,,,,,,,
Scott Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buccaneers,581.00,293.00,54.00,2.00,64.00,50.00,30.00,50.00,,,,,,,,,,,,,,,,,,
Seth DeValve,Browns,395.00,295.00,58.00,1.30,53.00,52.00,50.00,53.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seth Roberts,Raiders,455.00,413.00,62.00,1.10,46.00,40.00,33.00,35.00,Raiders,494.00,316.00,54.00,1.60,70.00,44.00,49.00,59.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefon Diggs,Vikings,"1,056.00",466.00,110.00,2.30,66.00,79.00,57.00,78.00,Vikings,"1,021.00",494.00,125.00,2.10,63.00,70.00,59.00,72.00,Vikings,"1,206.00",408.00,100.00,3.00,80.00,69.00,57.00,82.00,Bills,"1,846.00",634.00,182.00,2.90,84.00,84.00,55.00,91.00,Bills,"1,292.00",602.00,159.00,2.10,93.00,52.00,46.00,77.00,Bills,"1,578.00",619.00,161.00,2.50,83.00,81.00,43.00,83.00
Stephen Anderson,Texans,342.00,254.00,51.00,1.30,32.00,28.00,52.00,29.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterling Shepard,Giants,731.00,401.00,82.00,1.80,40.00,78.00,52.00,59.00,Giants,872.00,540.00,101.00,1.60,47.00,37.00,46.00,40.00,Giants,576.00,348.00,81.00,1.70,69.00,41.00,42.00,54.00,Giants,656.00,345.00,85.00,1.90,77.00,72.00,40.00,74.00,,,,,,,,,,,,,,,,,,
T.J. Hockenson,,,,,,,,,,,,,,,,,,,Lions,367.00,252.00,54.00,1.50,25.00,32.00,51.00,25.00,Lions,723.00,397.00,89.00,1.80,44.00,35.00,33.00,32.00,Lions,583.00,337.00,77.00,1.70,63.00,73.00,40.00,65.00,Vikings,"1,043.00",563.00,136.00,1.90,50.00,55.00,46.00,50.00
T.Y. Hilton,Colts,966.00,494.00,105.00,2.00,59.00,48.00,54.00,57.00,Colts,"1,415.00",505.00,127.00,2.80,37.00,55.00,63.00,51.00,Colts,501.00,239.00,60.00,2.10,48.00,57.00,59.00,56.00,Colts,794.00,408.00,91.00,1.90,56.00,45.00,54.00,53.00,,,,,,,,,,,,,,,,,,
Taylor Gabriel,,,,,,,,,,Bears,725.00,445.00,86.00,1.60,51.00,53.00,37.00,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
